89832600060	y	LE BRUN ORG CIDER 750ML	LE BRUN ORG CIDER / 12/750ML (127020)(C)	WINESELLERS LTD.	750 ML	9	127020	PINNACLE IMPORTS	CS	12	
89832920274	y	FAISAO RD 2014	FAISAO RD 2014	WINESELLERS LTD.	750 ML	9	1787	PINNACLE IMPORTS	CS	12	
89832920281	y	FAISAO VINHO VERDE ROSE	FAISAO VINHO VERDE ROSE	WINESELLERS LTD.	750 ML	9	1786	PINNACLE IMPORTS	CS	12	
89832920298	y	FAISAO VINHO VERDE 20152016	FAISAO VINHO VERDE 2015/2016	WINESELLERS LTD.	750 ML	9	1785	PINNACLE IMPORTS	CS	12	
91127884116	y	EOLA HILLS OREGON PINOT NOIR 15	EOLA HILLS OREGON PINOT NOIR 2015	EOLA HILLS	750 ML	15.75	10469012	PINNACLE IMPORTS	CS	12	
91127967055	y	EOLA HILLS RASPBRY DESSERT WINE	EOLA HILLS RASPBERRY DESSERT WINE 375ML NV	EOLA HILLS	375 ML	19.5	104680	PINNACLE IMPORTS	CS	12	
94799010043	y	QUINTA DO VESUVIO PORT 2001	QUINTA DO VESUVIO PORT 2001 6PK	PREMIUM PORT WINES	750 ML	46.5	105730	PINNACLE IMPORTS	CS	6	
94799010043	y	W&J GRAHAMS SIX GRAPES PORT	W. & J. GRAHAMS SIX GRAPES PORT	PREMIUM PORT WINES	750 ML	21	105650	PINNACLE IMPORTS	CS	12	
94799010050	y	W&J GRAHAMS SIX GRAPES PORT	W. & J. GRAHAMS SIX GRAPES PORT 375ML / 24/375ML	PREMIUM PORT WINES	375 ML	12	105670	PINNACLE IMPORTS	CS	24	
94799010067	y	W&J GRAHAMS SIX GRAPES PORT	W. & J. GRAHAMS SIX GRAPES PORT 1875ML / 24/1875ML	PREMIUM PORT WINES	187.5 ML	8.25	105660	PINNACLE IMPORTS	CS	24	
94799010081	y	W&J GRAHAMS 10YR. TAWNY PORT	W. & J. GRAHAMS 10YR. TAWNY PORT 6PK	PREMIUM PORT WINES	750 ML	29.25	105631	PINNACLE IMPORTS	CS	6	
94799010098	y	W&J GRAHAMS 20YR. TAWNY PORT	W. & J. GRAHAMS 20YR. TAWNY PORT 6PK	PREMIUM PORT WINES	750 ML	47.25	105640	PINNACLE IMPORTS	CS	6	
94799010104	y	W&J GRAHAMS 30YR. TAWNY PORT	W. & J. GRAHAMS 30YR. TAWNY PORT 6PK	PREMIUM PORT WINES	750 ML	94.5	105642	PINNACLE IMPORTS	CS	6	
94799010111	y	W&J GRAHAMS 40YR. TAWNY PORT	W. & J. GRAHAMS 40YR. TAWNY PORT 6PK	PREMIUM PORT WINES	750 ML	130	105641	PINNACLE IMPORTS	CS	6	
94799011146	y	W&J GRAHAMS SPECIAL 6GRAPE PORT	W. & J. GRAHAMS SPECIAL EDITION SIX GRAPES PORT 6PK	PREMIUM PORT WINES	750 ML	31.5	105651	PINNACLE IMPORTS	CS	6	
94799020011	y	DOWS FINE TAWNY PORT	DOWS FINE TAWNY PORT	PREMIUM PORT WINES	750 ML	14.25	105560	PINNACLE IMPORTS	CS	12	
94799020028	y	CAPCANES CABRIDA 2012	CAPCANES CABRIDA 2012	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	38.75	120701	PINNACLE IMPORTS	CS	6	
94799020028	y	DOWS FINE RUBY PORT	DOWS FINE RUBY PORT	PREMIUM PORT WINES	750 ML	14.25	105550	PINNACLE IMPORTS	CS	12	
94799020035	y	DOWS FINE WHT PORT	DOWS FINE WHITE PORT	PREMIUM PORT WINES	750 ML	14.25	105610	PINNACLE IMPORTS	CS	12	
94799020165	y	DOWS 10 YEAR OLD TAWNY PORT	DOWS 10 YEAR OLD TAWNY PORT	PREMIUM PORT WINES	750 ML	28.5	105570	PINNACLE IMPORTS	CS	12	
94799020189	y	DOWS 20 YEAR OLD TAWNY PORT	DOWS 20 YEAR OLD TAWNY PORT	PREMIUM PORT WINES	750 ML	45.75	105580	PINNACLE IMPORTS	CS	12	
94799020202	y	DOWS 30 YEAR OLD TAWNY PORT	DOWS 30 YEAR OLD TAWNY PORT 6PK	PREMIUM PORT WINES	750 ML	81	105590	PINNACLE IMPORTS	CS	6	
94799020349	y	DOWS LATE BOTTLE VINTAGE PORT 11	DOWS LATE BOTTLE VINTAGE PORT 2011	PREMIUM PORT WINES	750 ML	20.25	105530	PINNACLE IMPORTS	CS	12	
94799020523	y	DOWS TRADEMARK PORT	DOWS TRADEMARK PORT	PREMIUM PORT WINES	750 ML	19.5	105600	PINNACLE IMPORTS	CS	12	
94799020530	y	DOWS LATE BOTTLE VINTAGE PORT 11	DOWS LATE BOTTLE VINTAGE PORT 2011	PREMIUM PORT WINES	375 ML	12	105540	PINNACLE IMPORTS	CS	24	
94799030515	y	SMITH WDHOUSE 10 YEAR TAWNY PORT	SMITH WOODHOUSE 10 YEAR TAWNY PORT	PREMIUM PORT WINES	750 ML	25.5	105760	PINNACLE IMPORTS	CS	12	
94799030539	y	CASA CASTILLO LAS GRAVAS 2011 DI	CASA CASTILLO LAS GRAVAS 2011 DI	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	23.25	120740	PINNACLE IMPORTS	CS	6	
94799040019	y	LEACOCKS RAINWATER MADEIRA NV 	LEACOCKS RAINWATER MADEIRA NV /	PREMIUM PORT WINES	750 ML	15.75	105860	PINNACLE IMPORTS	CS	12	
94799050056	y	BLANDYS 10YR. MALMSEY MADEIRA NV	BLANDYS 10YR. MALMSEY MADEIRA NV	PREMIUM PORT WINES	500 ML	33	105790	PINNACLE IMPORTS	CS	12	
94799050056	y	CASA CASTILLO LAS GRAVAS 2013 DI	CASA CASTILLO LAS GRAVAS 2013 DI	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	25.5	12074011	PINNACLE IMPORTS	CS	6	
94799050186	y	BLANDYS ALVADA MADEIRA 500ML NV	BLANDYS ALVADA MADEIRA 6PK 500ML NV	PREMIUM PORT WINES	500 ML	16.5	105800	PINNACLE IMPORTS	CS	6	
94799080169	y	COSSART GORDON BUAL 97 MAD 6PK	COSSART GORDON BUAL 1997 MADEIRA 6PACK .500ML	PREMIUM PORT WINES	500 ML	33	105830	PINNACLE IMPORTS	CS	6	
94799090267	y	POMBAL DO VESUVIO DOURO DOC 2007	POMBAL DO VESUVIO DOURO DOC 2007 6PK	PREMIUM PORT WINES	750 ML	46.5	108700	PINNACLE IMPORTS	CS	6	
94799100188	y	PRATS & SYMINGTON CHRYSEIA 2014	PRATS & SYMINGTON CHRYSEIA 2014	PREMIUM PORT WINES	750 ML	58.5	1445	PINNACLE IMPORTS	CS	6	
94799120117	y	COCKBURNS 20 YEAR OLD TAWNY PORT	COCKBURNS 20 YEAR OLD TAWNY PORT	PREMIUM PORT WINES	500 ML	33	105520	PINNACLE IMPORTS	CS	12	
94799120155	y	COCKBURNS SPECIAL RESERVE PORT	COCKBURNS SPECIAL RESERVE PORT	PREMIUM PORT WINES	750 ML	17.25	105490	PINNACLE IMPORTS	CS	12	
94922202215	y	BOUCHARD CHAMBOLLE MUSIGNY 2013	BOUCHARD CHAMBOLLE MUSIGNY 2013	HENRIOT INC.	750 ML	60	117144	PINNACLE IMPORTS	CS	12	
98576027477	y	STEELHEAD NORTH COAST RD BLND 13	STEELHEAD NORTH COAST RD BLEND 2013	V2 WINE GROUP	750 ML	13.5	123324	PINNACLE IMPORTS	CS	12	
98576027682	y	STEELHEAD SONOMA PINOT NOIR 2016	STEELHEAD SONOMA PINOT NOIR 2016	V2 WINE GROUP	750 ML	13.5	123320	PINNACLE IMPORTS	CS	12	
98576061129	y	STEELHEAD SONOMA CHRDNY 2012	STEELHEAD SONOMA CHRDNY 2012	V2 WINE GROUP	750 ML	13.5	123325	PINNACLE IMPORTS	CS	12	
98576061624	y	STEELHEAD SAUV BLANC 2015	STEELHEAD SAUV BLANC 2015	V2 WINE GROUP	750 ML	11.25	123323	PINNACLE IMPORTS	CS	12	
98576711628	y	QUIV GRENACHE WINE CRK RANCH 09	QUIVIRA GRENACHE WINE CREEK RANCH 2009	WINE CREEK CELLARS	750 ML	24.75	103040	PINNACLE IMPORTS	CS	12	
98576906420	y	QUIVIRA DRY CRK ZIN 2015	QUIVIRA DRY CREEK ZIN 2015	WINE CREEK CELLARS	750 ML		103090	PINNACLE IMPORTS	CS	12	
98576982622	y	QUIVIRA FIG TREE SAUV BLANC 2015	QUIVIRA FIG TREE SAUVIGNON BLANC 2015	WINE CREEK CELLARS	750 ML	18.75	10307013	PINNACLE IMPORTS	CS	12	
98576988624	y	QUIV SONOMA COUNTY SAUV BLANC 16	QUIVIRA SONOMA COUNTY SAUVIGNON BLANC 2016	WINE CREEK CELLARS	750 ML	14.25	103050	PINNACLE IMPORTS	CS	12	
99479550031	y	GIGONDAS MARASQUE RD 14	BROTTE GIGONDAS LA MARASQUE RD 2014	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	21	126102	PINNACLE IMPORTS	CS	12	
99479550048	y	CROZES HERMITAGE LA ROLLANDE 14	BROTTE CROZES HERMITAGE LA ROLLANDE 2014	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	15	126104	PINNACLE IMPORTS	CS	12	
99479550086	y	VACQUEYRAS BOUVENCOURT RD 13	BROTTE VACQUEYRAS BOUVENCOURT RD 2013	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	16.5	126103	PINNACLE IMPORTS	CS	12	
99479550635	y	DOMAIN BARVILLE CDP ROUGE 2014	BROTTE DOMAIN BARVILLE CDP ROUGE 2014	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	29.5	126100	PINNACLE IMPORTS	CS	12	
99479551069	y	COTES DU RHONE ESPRIT BARVILL 15	BROTTE COTES DU RHONE ESPRIT BARVILLE 2015	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	11.25	126105	PINNACLE IMPORTS	CS	12	
1.83E+11	y	GRAYSON CHARD 2016	GRAYSON CHARD 2016	THE WOODMAR GROUP	750 ML	9.75	100050	PINNACLE IMPORTS	CS	12	
1.83E+11	y	CEDRATA SODA DIAMANT CITRNS	BALADIN CEDRATA SODA W/ DIAMANTE CITRONS	B. UNITED	250 ML	2.29	125182	PINNACLE IMPORTS	CS	12	
1.83E+11	y	GRAYSON MERLOT 2015	GRAYSON MERLOT 2015	THE WOODMAR GROUP	750 ML	9.75	101570	PINNACLE IMPORTS	CS	12	
1.83E+11	y	GRAYSON CAB 2016	GRAYSON CAB 2016	THE WOODMAR GROUP	750 ML	9.75	121590	PINNACLE IMPORTS	CS	12	
1.83E+11	y	GRAYSON ZINFANDEL 2016	GRAYSON ZINFANDEL 2016	THE WOODMAR GROUP	750 ML	9.75	101590	PINNACLE IMPORTS	CS	12	
1.83E+11	y	GRAYSON PASO ROBLES PNO NOIR 16	GRAYSON PASO ROBLES PINOT NOIR 2016	THE WOODMAR GROUP	750 ML	12	101580	PINNACLE IMPORTS	CS	12	
1.83E+11	y	AECHT SCHLNKRLA RAUCHBIER HELLES	AECHT SCHLNKRLA RAUCHBIER HELLES 50L KEG	B. UNITED	50 L		304931	PINNACLE IMPORTS	EA	1	
1.83E+11	y	BLOCK NINE PINOT NOIR 2016	BLOCK NINE PINOT NOIR 2016	THE WOODMAR GROUP	750 ML	11.25	100230	PINNACLE IMPORTS	CS	12	
1.86E+11	y	NINA SANGRIA	JGS-NINA SANGRIA	JOHNNY GREEN SEEDS	750 ML	10.5	126120	PINNACLE IMPORTS	CS	12	
1.86E+11	y	TARANTAS TEMPRANILLO CRIANZA 14	JGS-TARANTAS TEMPRANILLO CRIANZA 14	JOHNNY GREEN SEEDS	750 ML	9	126171	PINNACLE IMPORTS	CS	12	
1.86E+11	y	BIOKULT ROSE 2016	JGS-BIOKULT ROSE 2016	JOHNNY GREEN SEEDS	750 ML	12	126118	PINNACLE IMPORTS	CS	12	
1.86E+11	y	PIZZOLATO NSA CAB 16	JGS-PIZZOLATO NSA CAB 16	JOHNNY GREEN SEEDS	750 ML	9.75	126130	PINNACLE IMPORTS	CS	12	
1.86E+11	y	TARANTAS SPARKLING ROSE 16	JGS-TARANTAS SPARKLING ROSE 16	JOHNNY GREEN SEEDS	750 ML	9	126172	PINNACLE IMPORTS	CS	12	
1.86E+11	y	TARANTAS SPARKLING BLANC 16	JGS-TARANTAS SPARKLING BLANC 16	JOHNNY GREEN SEEDS	750 ML	9	126170	PINNACLE IMPORTS	CS	12	
1.86E+11	y	LE PETIT LAGARDE ORG BX 2016	JGS-LE PETIT LAGARDE ORG BX 2016	JOHNNY GREEN SEEDS	750 ML	13.5	126110	PINNACLE IMPORTS	CS	12	
1.86E+11	y	PIZZOLATO FIELDS PROSECCO	JGS-PIZZOLATO FIELDS PROSECCO	JOHNNY GREEN SEEDS	750 ML	10.5	126135	PINNACLE IMPORTS	CS	12	
1.86E+11	y	PIZZOLATO PINOT GRIGIO 2016	JGS-PIZZOLATO PINOT GRIGIO 2016	JOHNNY GREEN SEEDS	750 ML	9	126134	PINNACLE IMPORTS	CS	12	
1.86E+11	y	PIZZOLATO NSA ROSSO 2016	JGS-PIZZOLATO NSA ROSSO 2016	JOHNNY GREEN SEEDS	750 ML	9.75	126132	PINNACLE IMPORTS	CS	12	
1.86E+11	y	SPARTICO TEMPRANILLO 16	JGS-SPARTICO TEMPRANILLO 16	JOHNNY GREEN SEEDS	750 ML	10.5	126160	PINNACLE IMPORTS	CS	12	
1.86E+11	y	PIZZOLATO NSA MERLOT 16	JGS-PIZZOLATO NSA MERLOT 16	JOHNNY GREEN SEEDS	750 ML	9.75	126131	PINNACLE IMPORTS	CS	12	
1.86E+11	y	BIOKULT GRUNER VELTLINER OR	JGS-BIOKULT GRUNER VELTLINER OR	JOHNNY GREEN SEEDS	750 ML	12	126119	PINNACLE IMPORTS	CS	12	
1.86E+11	y	LES HAUTS DE LAGARDE BDX RD 2016	JGS-LES HAUTS DE LAGARDE BDX RD 2016	JOHNNY GREEN SEEDS	750 ML	10.5	126112	PINNACLE IMPORTS	CS	12	
1.86E+11	y	LES HAUTS DE LAGARDE BDX WHT 16	JGS-LES HAUTS DE LAGARDE BDX WHITE 2016	JOHNNY GREEN SEEDS	750 ML	10.5	126113	PINNACLE IMPORTS	CS	12	
1.86E+11	y	LES HAUT DE LAGARDE ROSE 2015	JGS-LES HAUT DE LAGARDE ROSE 2015	JOHNNY GREEN SEEDS	750 ML	10.5	126111	PINNACLE IMPORTS	CS	12	
1.86E+11	y	SOFOS WHT WISE OLD MAN 15	JGS-SOFOS WHITE WISE OLD MAN 15	JOHNNY GREEN SEEDS	750 ML	11.25	126151	PINNACLE IMPORTS	CS	12	
1.86E+11	y	PIZZOLATO MOSCATO 16	JGS-PIZZOLATO MOSCATO 16	JOHNNY GREEN SEEDS	750 ML	11.25	126133	PINNACLE IMPORTS	CS	12	
1.86E+11	y	DIPLOMATICO MANTUANO RUM	DIPLOMATICO MANTUANO RUM	DOMAINE SELECT WINE ESTATE	750 ML	18.05	1727	PINNACLE IMPORTS	CS	6	
1.88E+11	y	DONATI SISTERS ROUGE 2014	DONATI SISTERS ROUGE 2014	DONATI FAMILY VINEYARD	750 ML	12	127250	PINNACLE IMPORTS	CS	12	
1.88E+11	y	DONATI CLARET 2014	DONATI CLARET 2014	DONATI FAMILY VINEYARD	750 ML	15	10100011	PINNACLE IMPORTS	CS	12	
1.88E+11	y	DONATI CAB SAUV 2014	DONATI CABERNET SAUVIGNON 2014	DONATI FAMILY VINEYARD	750 ML	18	122310	PINNACLE IMPORTS	CS	12	
1.88E+11	y	FORMAN CAB SAUV 2013	FORMAN CABERNET SAUVIGNON 2013	FORMAN VINEYARDS	750 ML	90	125880	PINNACLE IMPORTS	CS	12	
1.88E+11	y	ANDREW WILL COL VAL CAB FRANC 15	ANDREW WILL COLUMBIA VALLEY CAB FRANC 2015	ANDREW WILL	750 ML	25.5	116481	PINNACLE IMPORTS	CS	12	
1.88E+11	y	DONATI EZIO 2013	DONATI EZIO 2013 6PK	DONATI FAMILY VINEYARD	750 ML	26.25	12228012	PINNACLE IMPORTS	CS	6	
1.88E+11	y	DONATI IMMIGRANT 2014	DONATI IMMIGRANT 2014 6PK	DONATI FAMILY VINEYARD	750 ML	26.25	10102012	PINNACLE IMPORTS	CS	6	
3.10E+11	y	LA MAROUETTE CAB 15	JGS-LA MAROUETTE CAB 15	JOHNNY GREEN SEEDS	750 ML	10.5	126090	PINNACLE IMPORTS	CS	12	
3.83E+11	y	MOVIA SAUV BLANC 2014	MOVIA SAUVIGNON BLANC 2014	DOMAINE SELECT WINE ESTATE	750 ML	25.5	126231	PINNACLE IMPORTS	CS	12	
3.83E+11	y	MOVIA PURO SPARKLING ROSE 2006	MOVIA PURO SPARKLING ROSE 2006	DOMAINE SELECT WINE ESTATE	750 ML	36.25	126232	PINNACLE IMPORTS	CS	9	
3.83E+11	y	MOVIA PINOT NOIR 2010	MOVIA PINOT NOIR 2010	DOMAINE SELECT WINE ESTATE	750 ML	31.5	126230	PINNACLE IMPORTS	CS	12	
4.93E+11	y	HITACHINO ANBAI PLUM WHEAT ALE	HITACHINO ANBAI PLUM WHEAT ALE W/ SALT	B. UNITED	11.2 OZ		30516	PINNACLE IMPORTS	CS	24	
6.01E+11	y	HARVIESTOUN OLD ENGINE OIL 411.2	HARVIESTOUN OLD ENGINE OIL 4/6PK/11.2	B. UNITED	11.2 OZ		117750	PINNACLE IMPORTS	CS	24	
6.01E+11	y	HANSSENS OUDE KRIEK 1212.7OZ 	HANSSENS OUDE KRIEK 12/12.7OZ /	B. UNITED	12.7 OZ		301300	PINNACLE IMPORTS	CS	12	
6.01E+11	y	ST SUPERY SAUV BLANC FIREBIRDS	ST SUPERY SAUV BLANC NO UPC FIREBIRDS	ST. SUPERY	750 ML	10	103680	PINNACLE IMPORTS	CS	12	
6.01E+11	y	HARVIESTOUN OLA DUBH 12 YEAR11.2	HARVIESTOUN OLA DUBH 12 YEAR 12PK/11.2	B. UNITED	11.2 OZ		302260	PINNACLE IMPORTS	CS	12	
6.01E+11	y	HARVIESTOUN OLA DUBH 16 YEAR11.2	HARVIESTOUN OLA DUBH 16 YEAR 12PK/11.2	B. UNITED	11.2 OZ		302270	PINNACLE IMPORTS	CS	12	
6.01E+11	y	HARVIESTOUN OLA DUBH 18 YEAR11.2	HARVIESTOUN OLA DUBH 18 YEAR 12PK/11.2	B. UNITED	11.2 OZ		302280	PINNACLE IMPORTS	CS	12	
6.01E+11	y	HARVIESTOUN ENGINE OIL ENGINEERS	HARVIESTOUN OLD ENGINE OIL ENGINEERS RESERVE 12PK/11.2	B. UNITED	11.2 OZ		302250	PINNACLE IMPORTS	CS	12	
6.03E+11	y	WILLAKENZIE EMERY PINOT NOIR 13	WILLAKENZIE EMERY PINOT NOIR 2013	JACKSON FAMILY ENTERPRISES	750 ML	42.75	105200	PINNACLE IMPORTS	CS	6	
6.03E+11	y	WILLAKENZIE GISELE PINOT NOIR 15	WILLAKENZIE GISELE PINOT NOIR 2015	JACKSON FAMILY ENTERPRISES	750 ML	23.25	105191	PINNACLE IMPORTS	CS	12	
6.03E+11	y	WILLAKENZIE PINOT GRIS 2016	WILLAKENZIE PINOT GRIS 2016	JACKSON FAMILY ENTERPRISES	750 ML	18.75	121580	PINNACLE IMPORTS	CS	12	
6.06E+11	y	SANTHELENA REFOSCO IGT 2012	SANTHELENA REFOSCO IGT 2012	DOMAINE SELECT WINE ESTATE	750 ML	18.75	1607	PINNACLE IMPORTS	CS	12	
6.06E+11	y	CH BERRES IMPULSE RIESLING 2013	CH BERRES IMPULSE RIESLING 2013	CLASSICAL WINES	750 ML	15	111092	PINNACLE IMPORTS	CS	12	
6.06E+11	y	FANTINEL PINOT GRIGIO FRUILI 16	FANTINEL PINOT GRIGIO FRUILI DEL GRAVE DOC 2016	DOMAINE SELECT WINE ESTATE	750 ML	12	106441	PINNACLE IMPORTS	CS	12	
6.06E+11	y	FANTINEL CAB SAUV 2015	FANTINEL CABERNET SAUVIGNON 2015	DOMAINE SELECT WINE ESTATE	750 ML	12	106442	PINNACLE IMPORTS	CS	12	
6.06E+11	y	SANTHELENA PINOT GRIGIO DOC 2016	SANTHELENA PINOT GRIGIO DOC 2016	DOMAINE SELECT WINE ESTATE	750 ML	18.75	1608	PINNACLE IMPORTS	CS	12	
6.06E+11	y	SANTHELENA FRIULANO DOC 2015	SANTHELENA FRIULANO DOC 2015	DOMAINE SELECT WINE ESTATE	750 ML	18.75	1611	PINNACLE IMPORTS	CS	12	
6.06E+11	y	SANTHELENA RIBOLLA GIALLA IGT 15	SANTHELENA RIBOLLA GIALLA IGT 2015	DOMAINE SELECT WINE ESTATE	750 ML	18.75	1609	PINNACLE IMPORTS	CS	12	
6.06E+11	y	BERRS URZIGER WURZGARTEN RIES 11	CH BERRES URZIGER WURZGARTEN RIESLING KAB 2011	CLASSICAL WINES	750 ML	18	111093	PINNACLE IMPORTS	CS	12	
6.06E+11	y	FANTINEL ONE & ONLY BRUT ROSE	FANTINEL ONE & ONLY BRUT ROSE	DOMAINE SELECT WINE ESTATE	750 ML	14.25	106440	PINNACLE IMPORTS	CS	12	
6.06E+11	y	FRONTIERE COLLIO BIANCO DOC 14	SANTHELENA FRONTIERE COLLIO BIANCO DOC 2014	DOMAINE SELECT WINE ESTATE	750 ML	27	1613	PINNACLE IMPORTS	CS	12	
6.06E+11	y	VENKO COLLIO ROSSO DOC 2010	SANTHELENA VENKO COLLIO ROSSO DOC 2010	DOMAINE SELECT WINE ESTATE	750 ML	27	1612	PINNACLE IMPORTS	CS	12	
6.10E+11	y	LA PEPIERE MUSCADET DE MAINE 15	DOM DE LA PEPIERE MUSCADET DE MAINE ET SEVRE SUR LIE 2015	LOUIS-DRESSNER	750 ML	13.5	112160	PINNACLE IMPORTS	CS	12	
6.10E+11	y	BERNARD BAUDRY CHINON 2014	BERNARD BAUDRY CHINON 2014	LOUIS-DRESSNER	750 ML	16.5	125560	PINNACLE IMPORTS	CS	12	
6.11E+11	y	QUINTA DO CRASTO TINTA RORIZ 13	QUINTA DO CRASTO TINTA RORIZ 2013	BROADBENT SELECTIONS	750 ML	57	1658	PINNACLE IMPORTS	CS	3	
6.11E+11	y	FERREIRA TAWNY DUQUE DE BRAGANCA	FERREIRA 20 YEAR TAWNY DUQUE DE BRAGANCA	BROADBENT SELECTIONS	750 ML	45.75	105620	PINNACLE IMPORTS	CS	12	
6.11E+11	y	QUINTA DO CRASTO LBV 2010	QUINTA DO CRASTO LBV 2010	BROADBENT SELECTIONS	750 ML	21	105430	PINNACLE IMPORTS	CS	12	
6.11E+11	y	WARWICK ESTATE RESERVE RD 2002	WARWICK ESTATE RESERVE RD 2002	BROADBENT SELECTIONS	750 ML	23.25	111240	PINNACLE IMPORTS	CS	12	
6.11E+11	y	WARWCK ESTATE PROF SAUV BLANC 12	WARWICK ESTATE PROF. BLK SAUV BLANC 2012	BROADBENT SELECTIONS	750 ML	17.25	111252	PINNACLE IMPORTS	CS	12	
6.11E+11	y	CH. MUSAR CUVEE ROUGE 2013	CH. MUSAR CUVEE ROUGE 2013	BROADBENT SELECTIONS	750 ML	18	107950	PINNACLE IMPORTS	CS	12	
6.11E+11	y	BROADBENT VINHO VERDE NV	BROADBENT VINHO VERDE NV	BROADBENT SELECTIONS	750 ML	9	108710	PINNACLE IMPORTS	CS	12	
6.11E+11	y	CLOS BRUSQUIERES CDP 2013	CLOS BRUSQUIERES CDP 2013	WINES OF FRANCE	375 ML		121793	PINNACLE IMPORTS	CS	24	
6.11E+11	y	BROADBENT VINHO VERDE ROSE NV	BROADBENT VINHO VERDE ROSE NV	BROADBENT SELECTIONS	750 ML	9	108711	PINNACLE IMPORTS	CS	12	
6.11E+11	y	WARWICK ESTATE PINOTAGE 2014	WARWICK ESTATE PINOTAGE 2014	BROADBENT SELECTIONS	750 ML	17.25	111251	PINNACLE IMPORTS	CS	12	
6.11E+11	y	FERREIRA RUBY PORT NV	FERREIRA RUBY PORT NV	BROADBENT SELECTIONS	750 ML	13.5	105710	PINNACLE IMPORTS	CS	12	
6.11E+11	y	FERREIRA TAWNY PORT NV	FERREIRA TAWNY PORT NV	BROADBENT SELECTIONS	750 ML	15	105720	PINNACLE IMPORTS	CS	12	
6.11E+11	y	FERREIRA DONA ANTONIA RESRVE PRT	FERREIRA DONA ANTONIA RESERVE PORT NV	BROADBENT SELECTIONS	750 ML	16.5	105700	PINNACLE IMPORTS	CS	12	
6.11E+11	y	CASA FERREIRINHA VINHA GRANDE 14	CASA FERREIRINHA VINHA GRANDE RD 2014	BROADBENT SELECTIONS	750 ML	16.5	1649	PINNACLE IMPORTS	CS	12	
6.11E+11	y	QUINTA DO CRASTO DOURO RD 2015	QUINTA DO CRASTO DOURO RD 2015	BROADBENT SELECTIONS	750 ML	15.75	108702	PINNACLE IMPORTS	CS	12	
6.21E+11	y	BIRRIFICIO DUCATO VERDI IMPERIAL	BIRRIFICIO DUCATO VERDI IMPERIAL STOUT 16PK/11.2OZ *	B. UNITED	11.2 OZ		302000	PINNACLE IMPORTS	CS	16	
6.34E+11	y	LAETITIA ESTATE CHARD 2016	LAETITIA ESTATE CHARD 2016	LAETITIA VINEYARD & WINERY	750 ML	15	101915	PINNACLE IMPORTS	CS	12	
6.34E+11	y	LAETITIA ESTATE PINOT NOIR 2016	LAETITIA ESTATE PINOT NOIR 2016	LAETITIA VINEYARD & WINERY	750 ML	23.25	101916	PINNACLE IMPORTS	CS	12	
6.34E+11	y	LAETITIA RESERVE PINOT NOIR 2015	LAETITIA RESERVE PINOT NOIR 2015	LAETITIA VINEYARD & WINERY	750 ML	33	101914	PINNACLE IMPORTS	CS	6	
6.34E+11	y	BENMARCO EXPRESIVO 2013	BENMARCO EXPRESIVO 2013	FOLIO WINE COMPANY LLC	750 ML	27.75	109341	PINNACLE IMPORTS	CS	12	
6.37E+11	y	ULYSSES NAPA VALLEY CAB SAUV 12	ULYSSES NAPA VALLEY CABERNET SAUVIGNON 2012	DREYFUS - ASHBY	750 ML	145	126490	PINNACLE IMPORTS	CS	6	
6.37E+11	y	E DUPONT BOUCHE BRUT CIDER	E. DUPONT BOUCHE BRUT CIDER 24/375ML	B. UNITED	375 ML	7	300310	PINNACLE IMPORTS	CS	24	
6.37E+11	y	GIESEN MARLB EST SAUV BLANC 16	GIESEN MARLB ESTATE SAUV BLANC 2016	PACIFIC HIGHWAY WINE & SPIRITS	750 ML	10.5	107970	PINNACLE IMPORTS	CS	12	
6.38E+11	y	BURGANS ALBARINO 2015	BURGANS ALBARINO 2015	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	12.75	120940	PINNACLE IMPORTS	CS	12	
6.43E+11	y	DOM SERENE EVENSTD PINOT NOIR 13	DOMAINE SERENE EVENSTAD PINOT NOIR 2013 375ML	DOMAINE SERENE	375 ML	29.25	12219011	PINNACLE IMPORTS	CS	12	
6.51E+11	y	BURNT CITY BUTCHER PALE KEG	BURNT CITY DICK THE BUTCHER PALE KEG	THE LUCKY STRIKE CORP DBA BURNT CTY	5.16667GA L		126890	PINNACLE IMPORTS	EA	1	
6.51E+11	y	TORII MOR PINOT GRIS 2016	TORII MOR PINOT GRIS 2016	TORII MOR	750 ML	15.75	10515014	PINNACLE IMPORTS	CS	12	
6.51E+11	y	BURNT CITY BALLOON BOY WHEAT KEG	BURNT CITY BALLOON BOY WHEAT KEG	THE LUCKY STRIKE CORP DBA BURNT CTY	5.16667GA L		126880	PINNACLE IMPORTS	EA	1	
6.51E+11	y	FLORA SPRINGS CAB 2014	FLORA SPRINGS CAB 2014	FLORA SPRINGS WINERY & VINEYARDS	750 ML	33.75	123170	PINNACLE IMPORTS	CS	12	
